ticket_id,received_date,category,priority,status,resolution_hours,satisfaction,summary
V001,2026-08-10,결제,medium,resolved,10,4,중복 결제 후 승인 취소 요청
V002,2026-08-11,로그인,medium,resolved,17,4,비밀번호 재설정 메일 도착 지연
V003,2026-08-12,배송,low,resolved,24,4,배송 조회 상태가 장시간 갱신되지 않음
V004,2026-08-13,환불,medium,resolved,31,3,부분 환불 금액 확인 요청
V005,2026-08-14,계정,medium,open,,,회원 정보 수정 내용이 저장되지 않음
V006,2026-08-15,쿠폰,low,resolved,45,2,발급받은 쿠폰이 목록에 보이지 않음
V007,2026-08-16,상품,high,resolved,8,4,상품 상세 설명과 실제 옵션이 다름
V008,2026-08-10,앱,medium,resolved,15,5,앱 실행 직후 화면이 멈춤
V009,2026-08-11,결제,low,resolved,22,4,간편결제 단계에서 오류 반복
V010,2026-08-12,로그인,high,open,,,소셜 로그인 후 첫 화면으로 반복 이동
V011,2026-08-13,배송,medium,resolved,36,3,출고 완료 후 배송 위치 확인 불가
V012,2026-08-14,환불,low,resolved,43,2,환불 완료 알림 도착 지연
V013,2026-08-15,계정,medium,resolved,6,4,휴대전화 번호 변경 인증 실패
V014,2026-08-16,쿠폰,high,resolved,13,4,쿠폰 사용 조건 안내가 불명확함
V015,2026-08-10,상품,low,open,,,재고 있음 표시 후 주문이 취소됨
V016,2026-08-11,앱,medium,resolved,27,3,최신 버전 업데이트 후 알림이 오지 않음
V017,2026-08-12,결제,medium,resolved,34,3,할인 금액이 최종 결제에 미반영
V018,2026-08-13,로그인,low,resolved,41,2,이중 인증 코드 수신 실패
V019,2026-08-14,배송,medium,resolved,4,4,배송지 변경 요청이 주문에 미반영
V020,2026-08-15,환불,high,open,,,취소 후 승인 금액이 남아 있음
V021,2026-08-16,계정,high,resolved,18,4,회원 탈퇴 메뉴를 찾기 어려움
V022,2026-08-10,쿠폰,medium,resolved,25,3,쿠폰 적용 후 할인 금액이 다름
V023,2026-08-11,상품,medium,resolved,32,3,상품 이미지가 일부 화면에서 보이지 않음
V024,2026-08-12,앱,low,resolved,39,2,검색 결과 화면 전환이 느림
V025,2026-08-13,결제,medium,open,,,결제 완료 후 영수증 발급 지연
V026,2026-08-14,로그인,medium,resolved,9,4,휴면 해제 후 로그인 차단
V027,2026-08-15,배송,low,resolved,16,4,예정일이 지나도 상품이 도착하지 않음
V028,2026-08-16,환불,high,resolved,23,5,반품 완료 후 환불 처리 대기
V029,2026-08-10,계정,medium,resolved,30,3,프로필 이름 변경이 화면에 미반영
V030,2026-08-11,쿠폰,high,open,,,만료 전 쿠폰이 사용할 수 없음으로 표시
V031,2026-08-12,상품,medium,resolved,44,2,옵션 선택 시 가격이 잘못 표시됨
V032,2026-08-13,앱,medium,resolved,7,5,장바구니 수량 변경이 저장되지 않음
V033,2026-08-14,결제,low,resolved,14,4,중복 결제 후 승인 취소 요청
V034,2026-08-15,로그인,medium,resolved,21,4,비밀번호 재설정 메일 도착 지연
V035,2026-08-16,배송,high,open,,,배송 조회 상태가 장시간 갱신되지 않음
V036,2026-08-10,환불,low,resolved,35,3,부분 환불 금액 확인 요청
V037,2026-08-11,계정,medium,resolved,42,2,회원 정보 수정 내용이 저장되지 않음
V038,2026-08-12,쿠폰,medium,resolved,5,4,발급받은 쿠폰이 목록에 보이지 않음
V039,2026-08-13,상품,low,resolved,12,4,상품 상세 설명과 실제 옵션이 다름
V040,2026-08-14,앱,high,open,,,앱 실행 직후 화면이 멈춤
V041,2026-08-15,결제,medium,resolved,26,3,간편결제 단계에서 오류 반복
V042,2026-08-16,로그인,high,resolved,33,3,소셜 로그인 후 첫 화면으로 반복 이동
V043,2026-08-10,배송,medium,resolved,40,2,출고 완료 후 배송 위치 확인 불가
V044,2026-08-11,환불,medium,resolved,3,5,환불 완료 알림 도착 지연
V045,2026-08-12,계정,low,open,,,휴대전화 번호 변경 인증 실패
V046,2026-08-13,쿠폰,medium,resolved,17,4,쿠폰 사용 조건 안내가 불명확함
V047,2026-08-14,상품,medium,resolved,24,4,재고 있음 표시 후 주문이 취소됨
V048,2026-08-15,앱,low,resolved,31,3,최신 버전 업데이트 후 알림이 오지 않음
V049,2026-08-16,결제,high,resolved,38,2,할인 금액이 최종 결제에 미반영
V050,2026-08-10,로그인,high,open,,,이중 인증 코드 수신 실패
V051,2026-08-11,배송,low,resolved,8,4,배송지 변경 요청이 주문에 미반영
V052,2026-08-12,환불,medium,resolved,15,5,취소 후 승인 금액이 남아 있음
V053,2026-08-13,계정,medium,resolved,22,4,회원 탈퇴 메뉴를 찾기 어려움
V054,2026-08-14,쿠폰,low,resolved,29,3,쿠폰 적용 후 할인 금액이 다름
V055,2026-08-15,상품,medium,open,,,상품 이미지가 일부 화면에서 보이지 않음
